icd_code,disease_name,chapter,synonyms,short_desc
F422,Mixed obsessional thoughts and acts,Mental health,,
F430,Acute stress reaction,Mental health,,
F440,Dissociative amnesia,Mental health,,
F450,Somatization disorder,Mental health,,
F481,Depersonalization-derealization syndrome,Mental health,,
F509,"Eating disorder, unspecified",Mental health,,
F513,Sleepwalking [somnambulism],Mental health,,
F520,Hypoactive sexual desire disorder,Mental health,,
F530,Postpartum depression,Mental health,,
F550,Abuse of antacids,Mental health,,
F600,Paranoid personality disorder,Mental health,,
F630,Pathological gambling,Mental health,,
F640,Transsexualism,Mental health,major depressive disorder|Major depressive disorder disorder|Major depressive disorder disease,Major depressive disorder within Mental and behavioural disorders. Category-level grouping.
F650,Fetishism,Mental health,,
F68A,Factitious disorder imposed on another,Mental health,,
F800,Phonological disorder,Mental health,,
F810,Specific reading disorder,Mental health,,
F840,Autistic disorder,Mental health,,
F900,"Attention-deficit hyperactivity disorder, predominantly inattentive type",Mental health,,
F910,Conduct disorder confined to family context,Mental health,substance use disorder|Substance use disorder disorder|Substance use disorder disease,Substance use disorder within Mental and behavioural disorders. Category-level grouping.
F930,Separation anxiety disorder of childhood,Mental health,,
F940,Selective mutism,Mental health,,
F950,Transient tic disorder,Mental health,,
F980,Enuresis not due to a substance or known physiological condition,Mental health,,
G000,Hemophilus meningitis,Neurological,,
G030,Nonpyogenic meningitis,Neurological,,
G041,Tropical spastic paraplegia,Neurological,,
G053,Encephalitis and encephalomyelitis in diseases classified elsewhere,Neurological,,
G060,Intracranial abscess and granuloma,Neurological,,
G110,Congenital nonprogressive ataxia,Neurological,,
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",Neurological,,
G130,Paraneoplastic neuromyopathy and neuropathy,Neurological,epilepsy|Epilepsy disorder|Epilepsy disease,Epilepsy within Diseases of the nervous system. Category-level grouping.
G20C,"Parkinsonism, unspecified",Neurological,,
G210,Malignant neuroleptic syndrome,Neurological,,
G230,Hallervorden-Spatz disease,Neurological,,
G241,Genetic torsion dystonia,Neurological,,
G250,Essential tremor,Neurological,,
G300,Alzheimer's disease with early onset,Neurological,,
G311,"Senile degeneration of brain, not elsewhere classified",Neurological,,
G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,Neurological,,
G35A,Relapsing-remitting multiple sclerosis,Neurological,,
G360,Neuromyelitis optica [Devic],Neurological,,
G370,Diffuse sclerosis of central nervous system,Neurological,,
G441,"Vascular headache, not elsewhere classified",Neurological,,
G450,Vertebro-basilar artery syndrome,Neurological,,
G460,Middle cerebral artery syndrome,Neurological,,
G478,Other sleep disorders,Neurological,,
G500,Trigeminal neuralgia,Neurological,,
G510,Bell's palsy,Neurological,,
G520,Disorders of olfactory nerve,Neurological,,
G540,Brachial plexus disorders,Neurological,,
G580,Intercostal neuropathy,Neurological,,
G600,Hereditary motor and sensory neuropathy,Neurological,,
G610,Guillain-Barre syndrome,Neurological,,
G620,Drug-induced polyneuropathy,Neurological,,
G650,Sequelae of Guillain-Barre syndrome,Neurological,,
G701,Toxic myoneural disorders,Neurological,,
G713,"Mitochondrial myopathy, not elsewhere classified",Neurological,,
G720,Drug-induced myopathy,Neurological,,
G731,Lambert-Eaton syndrome in neoplastic disease,Neurological,,
G800,Spastic quadriplegic cerebral palsy,Neurological,,
G830,Diplegia of upper limbs,Neurological,,
G890,Central pain syndrome,Neurological,,
G901,Familial dysautonomia [Riley-Day],Neurological,,
G910,Communicating hydrocephalus,Neurological,,
G928,Other toxic encephalopathy,Neurological,,
G930,Cerebral cysts,Neurological,,
H019,Unspecified inflammation of eyelid,Eye and ear,,
H029,Unspecified disorder of eyelid,Eye and ear,,
H049,"Disorder of lacrimal system, unspecified",Eye and ear,,
H059,Unspecified disorder of orbit,Eye and ear,,
H109,Unspecified conjunctivitis,Eye and ear,,
H119,Unspecified disorder of conjunctiva,Eye and ear,,
H159,Unspecified disorder of sclera,Eye and ear,,
H168,Other keratitis,Eye and ear,,
H179,Unspecified corneal scar and opacity,Eye and ear,,
H189,Unspecified disorder of cornea,Eye and ear,,
